학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000003837,덕천초등학교,초등학교,1983-07-18,공립,본교,운영,경기도 안양시 만안구 안양동 192-5,경기도 안양시 만안구 전파로 27,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39206378,126.9359049,2026-03-20,B554398,한국교육시설안전원
B000003876,비산초등학교,초등학교,1980-03-03,공립,본교,운영,경기도 안양시 동안구 비산동 315-1,경기도 안양시 동안구 운곡로 52,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40526069,126.943703,2026-03-20,B554398,한국교육시설안전원
B000012501,충훈고등학교,고등학교,2004-03-01,공립,본교,운영,경기도 안양시 만안구 석수동 595-3,경기도 안양시 만안구 석수로 238,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.41081461,126.8931377,2026-03-20,B554398,한국교육시설안전원
B000011497,평촌경영고등학교,고등학교,1994-03-01,공립,본교,운영,경기도 안양시 동안구 관양동 1587-2,경기도 안양시 동안구 학의로 186,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40107292,126.9590273,2026-03-20,B554398,한국교육시설안전원
B000003867,관양초등학교,초등학교,1948-04-01,공립,본교,운영,경기도 안양시 동안구 관양동 1407,경기도 안양시 동안구 관평로336번길 23,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.4067103,126.9602277,2026-03-20,B554398,한국교육시설안전원
B000012508,신성고등학교,고등학교,1974-03-05,사립,본교,운영,경기도 안양시 만안구 안양동 587-68,경기도 안양시 만안구 소곡로 93,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38415457,126.918832,2026-03-20,B554398,한국교육시설안전원
B000012502,인덕원고등학교,고등학교,2007-03-01,공립,본교,운영,경기도 안양시 동안구 관양동 193-3,경기도 안양시 동안구 안양판교로 43,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39997331,126.981096,2026-03-20,B554398,한국교육시설안전원
B000009273,인덕원중학교,중학교,1982-03-01,공립,본교,운영,경기도 안양시 동안구 관양동 1482,경기도 안양시 동안구 벌말로 174,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40224961,126.9714242,2026-03-20,B554398,한국교육시설안전원
B000003844,삼성초등학교,초등학교,1954-04-01,공립,본교,운영,경기도 안양시 만안구 석수동 167-4,경기도 안양시 만안구 경수대로 1240,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.4195128,126.9119847,2026-03-20,B554398,한국교육시설안전원
B000009282,성문중학교,중학교,1971-03-05,사립,본교,운영,경기도 안양시 만안구 안양동 501-28,경기도 안양시 만안구 성결대학로64번길 9,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.37984308,126.9246852,2026-03-20,B554398,한국교육시설안전원
B000003873,안양신기초등학교,초등학교,1992-09-01,공립,본교,운영,경기도 안양시 동안구 호계동 1056-5,경기도 안양시 동안구 동안로 26,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.3816429,126.9569687,2026-03-20,B554398,한국교육시설안전원
B000003841,석수초등학교,초등학교,1981-10-10,공립,본교,운영,경기도 안양시 만안구 석수동 655-75,경기도 안양시 만안구 석수로 110,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40610427,126.9007563,2026-03-20,B554398,한국교육시설안전원
B000009265,안양중학교,중학교,1948-03-15,공립,본교,운영,경기도 안양시 만안구 석수동 752,경기도 안양시 만안구 와룡로 53,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40925264,126.8966844,2026-03-20,B554398,한국교육시설안전원
B000003860,귀인초등학교,초등학교,1993-03-08,공립,본교,운영,경기도 안양시 동안구 평촌동 932-1,경기도 안양시 동안구 귀인로 248,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38674525,126.9659381,2026-03-20,B554398,한국교육시설안전원
B000009266,안양서중학교,중학교,1989-03-01,공립,본교,운영,경기도 안양시 만안구 안양동 1055-3,경기도 안양시 만안구 창박로 26,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38592792,126.9043162,2026-03-20,B554398,한국교육시설안전원
B000024200,연현초등학교,초등학교,1996-03-14,공립,본교,운영,경기도 안양시 만안구 석수동 485-16,경기도 안양시 만안구 연현로1번길 55,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.4252211,126.9025062,2026-03-20,B554398,한국교육시설안전원
B000012511,성문고등학교,고등학교,1983-11-21,사립,본교,운영,경기도 안양시 만안구 안양동 501-28,경기도 안양시 만안구 성결대학로64번길 9,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.37984308,126.9246852,2026-03-20,B554398,한국교육시설안전원
B000003857,벌말초등학교,초등학교,2001-05-16,공립,본교,운영,경기도 안양시 동안구 평촌동 75-8,경기도 안양시 동안구 학의로408번길 25,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39383705,126.9808953,2026-03-20,B554398,한국교육시설안전원
B000011496,경기게임마이스터고등학교,고등학교,1995-03-01,공립,본교,운영,경기도 안양시 동안구 비산동 1101,경기도 안양시 동안구 학의로 70,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39791081,126.9474683,2026-03-20,B554398,한국교육시설안전원
B000012510,안양여자고등학교,고등학교,1960-03-08,사립,본교,운영,경기도 안양시 만안구 안양동 840-2,경기도 안양시 만안구 안양로 357,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40353299,126.9163026,2026-03-20,B554398,한국교육시설안전원
B000003843,삼봉초등학교,초등학교,2001-03-01,공립,본교,운영,경기도 안양시 만안구 박달동 114-3,경기도 안양시 만안구 박달로437번길 21,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40297685,126.8991863,2026-03-20,B554398,한국교육시설안전원
B000003836,해오름초등학교,초등학교,2012-03-01,공립,본교,운영,경기도 안양시 동안구 관양동 1671,경기도 안양시 동안구 동편로 117,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.41074576,126.9691932,2026-03-20,B554398,한국교육시설안전원
B000009281,안양여자중학교,중학교,1952-03-22,사립,본교,운영,경기도 안양시 만안구 안양동 840-2,경기도 안양시 만안구 안양로 357,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40356518,126.9163223,2026-03-20,B554398,한국교육시설안전원
B000003849,만안초등학교,초등학교,1962-03-10,공립,본교,운영,경기도 안양시 만안구 안양동 848-1,경기도 안양시 만안구 안양로384번길 13,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40664496,126.9167372,2026-03-20,B554398,한국교육시설안전원
B000003862,범계초등학교,초등학교,1992-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 1052-1,경기도 안양시 동안구 동안로 90,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38751871,126.9537811,2026-03-20,B554398,한국교육시설안전원
B000009278,비산중학교,중학교,2006-03-01,공립,본교,운영,경기도 안양시 동안구 비산동 121-1,경기도 안양시 동안구 평촌대로427번길 42,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40942621,126.948075,2026-03-20,B554398,한국교육시설안전원
B000003864,안양덕현초등학교,초등학교,1991-09-01,공립,본교,운영,경기도 안양시 동안구 호계동 1101,경기도 안양시 동안구 갈산로 34,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.37549471,126.9623993,2026-03-20,B554398,한국교육시설안전원
B000003845,화창초등학교,초등학교,2005-03-01,공립,본교,운영,경기도 안양시 만안구 석수동 348-7,경기도 안양시 만안구 양화로217번길 30,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.41212653,126.9035094,2026-03-20,B554398,한국교육시설안전원
B000009272,범계중학교,중학교,1992-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 1054-5,경기도 안양시 동안구 동안로 56,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.38471774,126.9553571,2026-03-20,B554398,한국교육시설안전원
B000012512,백영고등학교,고등학교,1995-03-01,사립,본교,운영,경기도 안양시 동안구 평촌동 932,경기도 안양시 동안구 관평로 94,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.386458,126.9649474,2026-03-20,B554398,한국교육시설안전원
B000003850,안양서초등학교,초등학교,1972-11-25,공립,본교,운영,경기도 안양시 만안구 안양동 922,경기도 안양시 만안구 양화로37번길 32,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39696022,126.911039,2026-03-20,B554398,한국교육시설안전원
B000003865,안양남초등학교,초등학교,1946-03-15,공립,본교,운영,경기도 안양시 동안구 호계동 1215,경기도 안양시 동안구 흥안대로 275,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.37987549,126.9685686,2026-03-20,B554398,한국교육시설안전원
B000003863,호성초등학교,초등학교,1983-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 792-4,경기도 안양시 동안구 호성로 43-2,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.36625525,126.9630267,2026-03-20,B554398,한국교육시설안전원
B000009267,관양중학교,중학교,1977-03-01,공립,본교,운영,경기도 안양시 동안구 관양동 1407-2,경기도 안양시 동안구 관악대로339번길 35,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.40568279,126.9605487,2026-03-20,B554398,한국교육시설안전원
B000003856,나눔초등학교,초등학교,2006-03-01,공립,본교,운영,경기도 안양시 동안구 평촌동 109-1,경기도 안양시 동안구 흥안대로414번길 22,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.39057608,126.9755501,2026-03-20,B554398,한국교육시설안전원
