PRKPLCE_NO,PRKPLCE_NM,PRKPLCE_SE,PRKPLCE_TYPE,RDNMADR,LNMADR,PRKCMPRT,FEEDING_SE,ENFORCE_SE,OPER_DAY,WEEKDAY_OPER_OPEN_HHMM,WEEKDAY_OPER_COLSE_HHMM,BASIC_TIME,BASIC_CHARGE,ADD_UNIT_TIME,ADD_UNIT_CHARGE,MONTH_CMMTKT,INSTITUTION_NM,PHONE_NUMBER,LATITUDE,LONGITUDE,REFERENCE_DATE
208-2-000036,수리산교 하부 주차장,공영,노외,경기도 안양시 만안구 병목안로 392,,40,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.371784,126.904387,2026-04-17
208-2-000035,군용지 주차장,공영,노외,경기도 안양시 만안구 창박로41번길 34,,68,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.383090,126.901602,2026-04-17
208-2-000034,율목복지회관 주차장,공영,노외,경기도 안양시 만안구 병목안로130번길 172-30,,57,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.393163,126.908030,2026-04-17
208-2-000033,병목안옛길 주차장,공영,노외,경기도 안양시 만안구 병목안로156번길 24-24,경기도 안양시 만안구 안양동 1009-5,23,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.390812,126.908432,2026-04-17
209-1-000014,관악3노상 주차장,공영,노상,경기도 안양시 동안구 관악대로 479-2,경기도 안양시 동안구 관양동 107-3,42,1,미시행,평일,09:00,19:00,30,600,,,,경기도 안양시,031-8045-5255,37.403089,126.975724,2026-04-17
209-1-000013,관양2동복개 주차장,공영,노상,경기도 안양시 동안구 벌말로 174,,139,2,미시행,평일,09:00,18:00,30,400,,,,경기도 안양시,031-8045-5255,37.402242,126.971412,2026-04-17
209-1-000012,학원가노상 주차장,공영,노상,경기도 안양시 동안구 귀인로172번길 42,,27,2,미시행,평일+토요일,10:00,20:00,30,400,,,,경기도 안양시,031-8045-5255,37.382942,126.959054,2026-04-17
209-1-000011,먹거리촌노상 주차장,공영,노상,경기도 안양시 동안구 귀인로190번길 23,,45,2,미시행,평일+토요일,10:00,21:00,30,400,,,,경기도 안양시,031-8045-5255,37.384338,126.960806,2026-04-17
209-1-000010,범계역노상 주차장,공영,노상,경기도 안양시 동안구 평촌대로223번길 55,경기도 안양시 동안구 호계동 1046-5,168,1,미시행,평일+토요일+공휴일,09:00,22:00,30,600,,,,경기도 안양시,031-8045-5255,37.390241,126.952754,2026-04-17
209-1-000009,동안노상 주차장,공영,노상,경기도 안양시 동안구 평촌대로243번길 30,,95,1,미시행,평일,09:00,17:00,30,600,,,,경기도 안양시,031-8045-5255,37.392839,126.953040,2026-04-17
