정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB209000130,중앙공원,37.3908333,126.9611833,2025-10-31,10110.0,31040,경기도 안양시,경기BIS
GGB209000131,동안구청,37.3920333,126.9531,2025-10-31,10066.0,31040,경기도 안양시,경기BIS
GGB209000132,한림대병원후문,37.39115,126.9614333,2025-10-31,10113.0,31040,경기도 안양시,경기BIS
GGB209000133,농수산물시장,37.3819333,126.9679,2025-10-31,10148.0,31040,경기도 안양시,경기BIS
GGB209000134,부흥고등학교,37.3916833,126.9452,2025-10-31,10020.0,31040,경기도 안양시,경기BIS
GGB209000135,롯데백화점.범계역,37.3903,126.9500333,2025-10-31,10047.0,31040,경기도 안양시,경기BIS
GGB209000136,평촌시립도서관,37.3964167,126.9585667,2025-10-31,10101.0,31040,경기도 안양시,경기BIS
GGB209000137,법원검찰청.안양과천교육지원청,37.3951667,126.9592667,2025-10-31,10103.0,31040,경기도 안양시,경기BIS
GGB209000138,서호전기,37.38645,126.94195,2025-10-31,10373.0,31040,경기도 안양시,경기BIS
GGB209000139,서호전기,37.38655,126.94205,2025-10-31,10374.0,31040,경기도 안양시,경기BIS
GGB209000140,호계2동자율방범대앞,37.3858667,126.9462833,2025-10-31,10375.0,31040,경기도 안양시,경기BIS
GGB209000141,호계2동자율방범대앞,37.3859167,126.94635,2025-10-31,10376.0,31040,경기도 안양시,경기BIS
GGB209000142,인덕원역3번출구,37.40005,126.9771833,2025-10-31,10177.0,31040,경기도 안양시,경기BIS
GGB209000143,평촌두산위브더프라임아파트,37.3677167,126.9506167,2025-10-31,10050.0,31040,경기도 안양시,경기BIS
GGB209000144,평촌두산위브더프라임아파트,37.3674333,126.95095,2025-10-31,10054.0,31040,경기도 안양시,경기BIS
GGB209000145,안양감리교회,37.3897833,126.9422833,2025-10-31,10013.0,31040,경기도 안양시,경기BIS
GGB209000146,안양우편물류센터후문,37.3894333,126.9448167,2025-10-31,10021.0,31040,경기도 안양시,경기BIS
GGB209000147,부흥고등학교.임광아파트,37.3908,126.9454833,2025-10-31,10025.0,31040,경기도 안양시,경기BIS
GGB209000148,안양우편물류센터후문,37.3893,126.9451333,2025-10-31,10023.0,31040,경기도 안양시,경기BIS
GGB209000149,안양감리교회,37.3896333,126.9425833,2025-10-31,10012.0,31040,경기도 안양시,경기BIS
GGB209000150,인덕원삼성아파트.인덕원고등학교,37.3990667,126.9794667,2025-10-31,10184.0,31040,경기도 안양시,경기BIS
GGB209000151,인덕원역2번출구,37.40085,126.9777833,2025-10-31,10180.0,31040,경기도 안양시,경기BIS
GGB209000152,인덕원역1번출구,37.4011333,126.9780667,2025-10-31,10181.0,31040,경기도 안양시,경기BIS
GGB209000153,인덕원삼성아파트.인덕원고등학교,37.39875,126.9804333,2025-10-31,10186.0,31040,경기도 안양시,경기BIS
GGB209000154,호계도서관.평촌트리지아1단지,37.38195,126.95035,2025-10-31,10049.0,31040,경기도 안양시,경기BIS
GGB209000155,한전.호계체육관,37.38195,126.94925,2025-10-31,10038.0,31040,경기도 안양시,경기BIS
GGB209000156,한전.호계체육관,37.3822667,126.9489333,2025-10-31,10041.0,31040,경기도 안양시,경기BIS
GGB209000157,호계도서관,37.3822667,126.9509,2025-10-31,10057.0,31040,경기도 안양시,경기BIS
GGB209000158,한신아파트,37.3829667,126.9671,2025-10-31,10144.0,31040,경기도 안양시,경기BIS
GGB209000159,귀인중학교,37.3842333,126.9647167,2025-10-31,10134.0,31040,경기도 안양시,경기BIS
GGB209000160,귀인중학교,37.3843333,126.9651333,2025-10-31,10137.0,31040,경기도 안양시,경기BIS
GGB209000161,한신아파트,37.3832167,126.9666167,2025-10-31,10142.0,31040,경기도 안양시,경기BIS
GGB209000162,벌말도서관.평촌동행정복지센터,37.3940167,126.9754667,2025-10-31,10172.0,31040,경기도 안양시,경기BIS
GGB209000163,농수산물도매시장,37.3838,126.9697167,2025-10-31,10155.0,31040,경기도 안양시,경기BIS
GGB209000164,꿈마을단지,37.3849,126.9689833,2025-10-31,10152.0,31040,경기도 안양시,경기BIS
GGB209000165,꿈마을라이프,37.3867667,126.9687333,2025-10-31,10151.0,31040,경기도 안양시,경기BIS
GGB209000166,동안고등학교정문,37.3900833,126.96695,2025-10-31,10145.0,31040,경기도 안양시,경기BIS
GGB209000167,초원한양아파트,37.3905,126.96705,2025-10-31,10143.0,31040,경기도 안양시,경기BIS
GGB209000168,꿈마을단지,37.3866333,126.9691,2025-10-31,10153.0,31040,경기도 안양시,경기BIS
GGB209000169,농수산물도매시장,37.3841833,126.9704333,2025-10-31,10158.0,31040,경기도 안양시,경기BIS
GGB209000170,평촌과학기술고등학교,37.37435,126.9636167,2025-10-31,10129.0,31040,경기도 안양시,경기BIS
GGB209000171,덕현초교,37.3759,126.9628167,2025-10-31,10124.0,31040,경기도 안양시,경기BIS
GGB209000172,자유공원.평촌아트홀,37.3783833,126.9616833,2025-10-31,10116.0,31040,경기도 안양시,경기BIS
GGB209000173,평촌학원가.먹자거리,37.3826,126.96025,2025-10-31,10108.0,31040,경기도 안양시,경기BIS
GGB209000174,학원가사거리.먹자골목,37.3845333,126.9592167,2025-10-31,10104.0,31040,경기도 안양시,경기BIS
GGB209000175,부흥고교,37.3923667,126.94535,2025-10-31,10024.0,31040,경기도 안양시,경기BIS
GGB209000176,비산힐스테이트,37.3942333,126.9411333,2025-10-31,10010.0,31040,경기도 안양시,경기BIS
GGB209000177,비산한화꿈에그린아파트.비산사거리,37.3969167,126.9371833,2025-10-31,10006.0,31040,경기도 안양시,경기BIS
GGB209000178,이마트.비산사거리.평촌래미안푸르지오2문,37.3966833,126.93885,2025-10-31,10008.0,31040,경기도 안양시,경기BIS
GGB209000179,관악타운,37.3946,126.9415,2025-10-31,10011.0,31040,경기도 안양시,경기BIS
GGB209000180,부흥고교,37.3926167,126.9450833,2025-10-31,10022.0,31040,경기도 안양시,경기BIS
GGB209000181,평촌학원가.먹자거리,37.3827333,126.9606833,2025-10-31,10109.0,31040,경기도 안양시,경기BIS
GGB209000182,자유공원.평촌아트홀,37.3791667,126.96215,2025-10-31,10117.0,31040,경기도 안양시,경기BIS
GGB209000183,자유공원,37.3774,126.96255,2025-10-31,10119.0,31040,경기도 안양시,경기BIS
GGB209000184,평촌과학기술고등학교,37.3749,126.9639,2025-10-31,10131.0,31040,경기도 안양시,경기BIS
GGB209000185,포일어울림센터.인덕원삼호아파트,37.3974167,126.98185,2025-10-31,10188.0,31040,경기도 안양시,경기BIS
GGB209000186,포일어울림센터.인덕원삼호아파트,37.3974833,126.9823167,2025-10-31,10187.0,31040,경기도 안양시,경기BIS
GGB209000187,효성아파트,37.3850833,126.9472833,2025-10-31,10377.0,31040,경기도 안양시,경기BIS
GGB209000188,효성아파트,37.38495,126.94755,2025-10-31,10378.0,31040,경기도 안양시,경기BIS
